"V1"	"V2"
"1"	"0"	"Dennd2d"
"2"	"0"	"Igf2r"
"3"	"1"	"Kbtbd11"
"4"	"0.293889444539699"	"Arhgap9"
"5"	"0.41205757087811"	"Slc2a4rg-ps"
"6"	"0.605559336182925"	"Ccl5"
"7"	"0.861466694153015"	"Cd28"
"8"	"0.836183433236068"	"Gimap7"
"9"	"0.578580527252694"	"Leprotl1"
"10"	"0.798332161554891"	"Trav7d-3"
"11"	"0.11375197054671"	"Gimap3"
"12"	"0.950016327885393"	"cd28"
"13"	"0.425311672266695"	"LOC385791"
"14"	"0.822350422616896"	"LOC386513"
"15"	"0.907503289796851"	"Trav9-1"
"16"	"0.780424052483911"	"Trav7-1"
"17"	"0.160086699264009"	"Tube1"
"18"	"0.357859874461079"	"Xlr4c"
"19"	"0.000430665792917901"	"Trav9d-3"
"20"	"0.00339877227217659"	"Dgka"
"21"	"0.000435606125991094"	"Pik3r1"
"22"	"3.17083865668458e-18"	"Rasal3"
"23"	"0"	"Prkch"
"24"	"1.2316762145027e-06"	"Arl4c"
"25"	"9.73439712620061e-06"	"Fxyd5"
"26"	"1.23167621448633e-06"	"Itgb2"
"27"	"0.060473227013205"	"Atp1b3"
"28"	"0.00679217008795791"	"Bcl11b"
"29"	"0.119565984499095"	"Tes"
"30"	"0.354507044768919"	"LOC385081"
"31"	"0"	"C920016N10Rik"
"32"	"0"	"Cd163"
"33"	"3.89751872353179e-18"	"Slc40a1"
"34"	"0"	"Vcam1"
"35"	"0.0697865718744573"	"Fam105a"
"36"	"0"	"Satb1"
"37"	"0"	"Thy1"
"38"	"6.91230620914858e-07"	"Cd27"
"39"	"6.15428437691426e-06"	"Ppic"
"40"	"0.391010165133671"	"Sema4f"
"41"	"6.7836424894897e-05"	"Cd3d"
"42"	"0.000407705493694695"	"Cd3e"
"43"	"5.58314892437038e-05"	"Cd3g"
"44"	"7.91169560548215e-06"	"Cd6"
"45"	"5.34114310504349e-05"	"Lck"
"46"	"5.41026616713643e-05"	"Tcf7"
"47"	"1.52758578006239e-05"	"Trbv13-2"
"48"	"6.27082413055661e-06"	"Peli1"
"49"	"2.60435591807283e-06"	"Itgb7"
"50"	"0"	"Cd8b1"
"51"	"0"	"Selplg"
"52"	"0"	"Slfn1"
"53"	"4.8925963525002e-05"	"D12Ertd551e"
"54"	"0.0289865614902609"	"Lef1"
"55"	"0"	"Dpysl2"
"56"	"0.0649844161586174"	"Faah"
"57"	"0.0134292900108449"	"Fam102a"
"58"	"0.0079383600684191"	"Sgk1"
"59"	"0.00783821683475413"	"Txk"
"60"	"1.09333806462517e-06"	"Tmsb10"
"61"	"0"	"Gimap4"
"62"	"0"	"LOC100041103"
"63"	"0"	"Slc9a3r1"
"64"	"3.56117871300375e-18"	"Hcst"
"65"	"9.8701327542603e-19"	"Ms4a6b"
"66"	"0.0846030785165827"	"Il18r1"
"67"	"0.0786227944629443"	"LOC100046087"
"68"	"0.249318338617515"	"Rnf125"
"69"	"0.00883067464989527"	"Itk"
"70"	"0.248714475290795"	"Lat"
"71"	"0.000891612610525672"	"Lcp2"
"72"	"0.0770792949397701"	"Ldb1"
"73"	"0.0770792949397702"	"LOC236170"
"74"	"0.25467941049309"	"scl000349.1_0"
"75"	"0.0649844161586174"	"Trib2"
"76"	"0"	"LOC100040243"
"77"	"0"	"Tmem66"
"78"	"0.0127762775355931"	"Ppm1b"
"79"	"0.133583335546362"	"Trat1"
"80"	"0.0876548708744552"	"Trav6d-4"
"81"	"0"	"Sepp1"
"82"	"0.0407139117644027"	"Tnfaip3"
"83"	"0.00463128769186569"	"Traf1"
"84"	"0.000520172236261648"	"Xlr4a"
"85"	"0.0401937395281411"	"Whsc1l1"
